,Title,Author,Series,Lang,Label
110,Last Burden,Upamanyu Chatterjee,,English,Indian
111,Lipika,Rabindranath Tagore,,English,Indian
112,Life Divine,Sri Aurbindo Ghosh,,English,Indian
113,Lost Child,Mulk Raj Anand,,English,Indian
114,My Days,R.K. Narayan,,English,Indian
115,My India,S. Nihal Singh,,English,Indian
116,My Life and Times,V.V. Giri,,English,Indian
117,"My Music, My Life",Pt. Ravi Shankar,,English,Indian
118,My Presidential Years,R. Venkatraman,,English,Indian
119,My Truth,Indira Gandhi,,English,Indian
120,New Dimensions of India’s Foreign Policy,A.B. Vajpayee,,English,Indian
121,Nisheeth,Uma Shankar Joshi,,English,Indian
122,Operation Bluestar: The True Story,Lt. Gen K.S. Brar,,English,Indian
123,"Our Films, Their Films",Satyajit Ray,,English,Indian
124,Painter of Signs,R.K. Narayan,,English,Indian
125,Panchatantra,Vishnu Sharma,,English,Indian
126,Past Forward,G.R. Narayanan,,English,Indian
127,Pather Panchali,Bibhuti Bhushan,,English,Indian
128,Plain Speaking,N. Chandrababu Naidu,,English,Indian
129,Portrait of India,Ved Mehta,,English,Indian
130,Post Office,Rabindranath Tagore,,English,Indian
131,Prem Pachisi,Munshi Prem Chand,,English,Indian
132,Rajtarangini,Kalhana,,English,Indian
133,Ram Charita Manas,Tulsidas,,English,Indian
134,Ramayana,Maharishi Valmiki,,English,Indian
135,Raghuvamsa,Kalidas,,English,Indian
136,Ranghbhoomi,Prem Chand,,English,Indian
137,Ratnavali,Harsha Vardhan,,English,Indian
138,Ravi Paar (Across the Ravi),Gulzar,,English,Indian
139,Red Earth and Pouring Rain,Vikram Chandra,,English,Indian
140,Ritu Samhara,Kalidas,,English,Indian
141,Saket,Maithili Sharan Gupt,,English,Indian
142,Seven Summers,Mulk Raj Anand,,English,Indian
143,Shadow from Ladakh,Bhabani Bhattacharya,,English,Indian
144,Snakes and Ladders: Essays on India,Gita Mehta,,English,Indian
145,Social Change in Modern India,M.N. Srinivas,,English,Indian
146,Sultry Days,Shobha De,,English,Indian
147,Sunny Days,Sunny Days,,English,Indian
148,The Bride’s Book of Beauty,Mulk Raj Anand,,English,Indian
149,The Cat and Shakespeare,Raja Rao,,English,Indian
