,Title,Author,Series,Lang,Label
103,Kanthapura,Raja Rao,NA,English,Indian
104,Kapala Kundala,Bankim Chandra Chatterjee,NA,English,Indian
105,Kashmir: A Tale of Shame,Hari Jaisingh,NA,English,Indian
106,Kashmir: A Tragedy of Errors,Tavleen Singh,NA,English,Indian
107,Kamayani,Jai Shankar Prasad,NA,English,Indian
108,Kulliyat,Ghalib,NA,English,Indian
109,Kumar Sambhava,Kalidas,NA,English,Indian
110,Last Burden,Upamanyu Chatterjee,NA,English,Indian
111,Lipika,Rabindranath Tagore,NA,English,Indian
112,Life Divine,Sri Aurbindo Ghosh,NA,English,Indian
113,Lost Child,Mulk Raj Anand,NA,English,Indian
114,My Days,R.K. Narayan,NA,English,Indian
115,My India,S. Nihal Singh,NA,English,Indian
116,My Life and Times,V.V. Giri,NA,English,Indian
117,"My Music, My Life",Pt. Ravi Shankar,NA,English,Indian
118,My Presidential Years,R. Venkatraman,NA,English,Indian
119,My Truth,Indira Gandhi,NA,English,Indian
120,New Dimensions of India’s Foreign Policy,A.B. Vajpayee,NA,English,Indian
121,Nisheeth,Uma Shankar Joshi,NA,English,Indian
122,Operation Bluestar: The True Story,Lt. Gen K.S. Brar,NA,English,Indian
123,"Our Films, Their Films",Satyajit Ray,NA,English,Indian
124,Painter of Signs,R.K. Narayan,NA,English,Indian
125,Panchatantra,Vishnu Sharma,NA,English,Indian
126,Past Forward,G.R. Narayanan,NA,English,Indian
127,Pather Panchali,Bibhuti Bhushan,NA,English,Indian
128,Plain Speaking,N. Chandrababu Naidu,NA,English,Indian
129,Portrait of India,Ved Mehta,NA,English,Indian
130,Post Office,Rabindranath Tagore,NA,English,Indian
131,Prem Pachisi,Munshi Prem Chand,NA,English,Indian
132,Rajtarangini,Kalhana,NA,English,Indian
133,Ram Charita Manas,Tulsidas,NA,English,Indian
134,Ramayana,Maharishi Valmiki,NA,English,Indian
135,Raghuvamsa,Kalidas,NA,English,Indian
136,Ranghbhoomi,Prem Chand,NA,English,Indian
137,Ratnavali,Harsha Vardhan,NA,English,Indian
138,Ravi Paar (Across the Ravi),Gulzar,NA,English,Indian
139,Red Earth and Pouring Rain,Vikram Chandra,NA,English,Indian
140,Ritu Samhara,Kalidas,NA,English,Indian
141,Saket,Maithili Sharan Gupt,NA,English,Indian
142,Seven Summers,Mulk Raj Anand,NA,English,Indian
143,Shadow from Ladakh,Bhabani Bhattacharya,NA,English,Indian
144,Snakes and Ladders: Essays on India,Gita Mehta,NA,English,Indian
145,Social Change in Modern India,M.N. Srinivas,NA,English,Indian
146,Sultry Days,Shobha De,NA,English,Indian
147,Sunny Days,Sunny Days,NA,English,Indian
148,The Bride’s Book of Beauty,Mulk Raj Anand,NA,English,Indian
